Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
CDS,cde_fo,GBPINR,1135,OPTCUR,CE,98.75,GBPINR,GBPINR23FEB24C98.75,GBPINR 23rd FEB 98.75 CE,2024-02-23,1,0.0025
CDS,cde_fo,EURINR,1136,OPTCUR,PE,97.25,EURINR,EURINR09FEB24P97.25,EURINR 9th FEB 97.25 PE,2024-02-09,1,0.0025
CDS,cde_fo,EURINR,1138,OPTCUR,CE,97.25,EURINR,EURINR27FEB24C97.25,EURINR FEB 97.25 CE,2024-02-27,1,0.0025
CDS,cde_fo,EURINR,1139,OPTCUR,PE,97.25,EURINR,EURINR27FEB24P97.25,EURINR FEB 97.25 PE,2024-02-27,1,0.0025
CDS,cde_fo,EURUSD,1143,OPTCUR,CE,1.215,EURUSD,EURUSD27FEB24C1.215,EURUSD FEB 1.215 CE,2024-02-27,1,0.0001
CDS,cde_fo,JPYINR,1145,FUTCUR,XX,-1,JPYINR,JPYINR29MAY24F,JPYINR MAY FUT,2024-05-29,1,0.0025
CDS,cde_fo,USDINR,1146,FUTCUR,XX,-1,USDINR,USDINR29MAY24F,USDINR MAY FUT,2024-05-29,1,0.0025
CDS,cde_fo,EURINR,1148,OPTCUR,PE,84,EURINR,EURINR26JUN24P84,EURINR JUN 84 PE,2024-06-26,1,0.0025
CDS,cde_fo,USDJPY,1149,OPTCUR,PE,138,USDJPY,USDJPY29JAN24P138,USDJPY JAN 138 PE,2024-01-29,1,0.01
CDS,cde_fo,EURINR,1151,OPTCUR,PE,85.5,EURINR,EURINR15MAR24P85.5,EURINR 15th MAR 85.5 PE,2024-03-15,1,0.0025
CDS,cde_fo,EURINR,1152,OPTCUR,CE,85.75,EURINR,EURINR15MAR24C85.75,EURINR 15th MAR 85.75 CE,2024-03-15,1,0.0025
CDS,cde_fo,USDINR,1153,OPTCUR,CE,77,USDINR,USDINR15MAR24C77,USDINR 15th MAR 77 CE,2024-03-15,1,0.0025
CDS,cde_fo,GBPINR,1154,OPTCUR,PE,111.5,GBPINR,GBPINR16FEB24P111.5,GBPINR 16th FEB 111.5 PE,2024-02-16,1,0.0025
CDS,cde_fo,JPYINR,1155,OPTCUR,CE,50.25,JPYINR,JPYINR16FEB24C50.25,JPYINR 16th FEB 50.25 CE,2024-02-16,1,0.0025
CDS,cde_fo,EURINR,1156,OPTCUR,CE,84.25,EURINR,EURINR26JUN24C84.25,EURINR JUN 84.25 CE,2024-06-26,1,0.0025
CDS,cde_fo,GBPINR,1157,OPTCUR,CE,100,GBPINR,GBPINR15MAR24C100,GBPINR 15th MAR 100 CE,2024-03-15,1,0.0025
CDS,cde_fo,GBPINR,1158,OPTCUR,PE,100,GBPINR,GBPINR15MAR24P100,GBPINR 15th MAR 100 PE,2024-03-15,1,0.0025
CDS,cde_fo,EURINR,1159,OPTCUR,PE,84.25,EURINR,EURINR26JUN24P84.25,EURINR JUN 84.25 PE,2024-06-26,1,0.0025
CDS,cde_fo,GBPINR,1160,OPTCUR,CE,100.25,GBPINR,GBPINR15MAR24C100.25,GBPINR 15th MAR 100.25 CE,2024-03-15,1,0.0025
CDS,cde_fo,EURINR,1161,OPTCUR,PE,85.75,EURINR,EURINR15MAR24P85.75,EURINR 15th MAR 85.75 PE,2024-03-15,1,0.0025
CDS,cde_fo,EURINR,1162,OPTCUR,CE,84.5,EURINR,EURINR26JUN24C84.5,EURINR JUN 84.5 CE,2024-06-26,1,0.0025
CDS,cde_fo,USDINR,1163,OPTCUR,PE,77,USDINR,USDINR15MAR24P77,USDINR 15th MAR 77 PE,2024-03-15,1,0.0025
CDS,cde_fo,JPYINR,1164,OPTCUR,CE,55.25,JPYINR,JPYINR26MAR24C55.25,JPYINR 26th MAR 55.25 CE,2024-03-26,1,0.0025
CDS,cde_fo,USDINR,1165,OPTCUR,CE,76.75,USDINR,USDINR25JAN24C76.75,USDINR 25th JAN 76.75 CE,2024-01-25,1,0.0025
CDS,cde_fo,GBPINR,1166,OPTCUR,CE,99.5,GBPINR,GBPINR15MAR24C99.5,GBPINR 15th MAR 99.5 CE,2024-03-15,1,0.0025
CDS,cde_fo,USDINR,1167,OPTCUR,PE,76.75,USDINR,USDINR25JAN24P76.75,USDINR 25th JAN 76.75 PE,2024-01-25,1,0.0025
CDS,cde_fo,EURINR,1168,OPTCUR,CE,83.5,EURINR,EURINR26MAR24C83.5,EURINR 26th MAR 83.5 CE,2024-03-26,1,0.0025
CDS,cde_fo,USDINR,1169,OPTCUR,CE,76.75,USDINR,USDINR29JAN24C76.75,USDINR JAN 76.75 CE,2024-01-29,1,0.0025
CDS,cde_fo,GBPINR,1170,OPTCUR,PE,100.25,GBPINR,GBPINR15MAR24P100.25,GBPINR 15th MAR 100.25 PE,2024-03-15,1,0.0025
CDS,cde_fo,JPYINR,1171,OPTCUR,CE,52.75,JPYINR,JPYINR15MAR24C52.75,JPYINR 15th MAR 52.75 CE,2024-03-15,1,0.0025
CDS,cde_fo,JPYINR,1172,OPTCUR,PE,50.25,JPYINR,JPYINR16FEB24P50.25,JPYINR 16th FEB 50.25 PE,2024-02-16,1,0.0025
CDS,cde_fo,JPYINR,1176,OPTCUR,PE,52.75,JPYINR,JPYINR15MAR24P52.75,JPYINR 15th MAR 52.75 PE,2024-03-15,1,0.0025
CDS,cde_fo,GBPINR,1177,OPTCUR,PE,98.75,GBPINR,GBPINR23FEB24P98.75,GBPINR 23rd FEB 98.75 PE,2024-02-23,1,0.0025
CDS,cde_fo,USDINR,1179,OPTCUR,PE,76.75,USDINR,USDINR29JAN24P76.75,USDINR JAN 76.75 PE,2024-01-29,1,0.0025
CDS,cde_fo,EURUSD,1181,OPTCUR,CE,1.21,EURUSD,EURUSD26MAR24C1.21,EURUSD 26th MAR 1.21 CE,2024-03-26,1,0.0001
CDS,cde_fo,EURINR,1182,OPTCUR,PE,84.5,EURINR,EURINR26JUN24P84.5,EURINR JUN 84.5 PE,2024-06-26,1,0.0025
CDS,cde_fo,EURINR,1183,OPTCUR,CE,84.75,EURINR,EURINR26JUN24C84.75,EURINR JUN 84.75 CE,2024-06-26,1,0.0025
CDS,cde_fo,EURINR,1184,OPTCUR,PE,84.75,EURINR,EURINR26JUN24P84.75,EURINR JUN 84.75 PE,2024-06-26,1,0.0025
CDS,cde_fo,EURINR,1185,OPTCUR,CE,85,EURINR,EURINR26JUN24C85,EURINR JUN 85 CE,2024-06-26,1,0.0025
CDS,cde_fo,EURINR,1186,OPTCUR,CE,94.25,EURINR,EURINR29JAN24C94.25,EURINR JAN 94.25 CE,2024-01-29,1,0.0025
CDS,cde_fo,GBPINR,1187,OPTCUR,CE,99,GBPINR,GBPINR01MAR24C99,GBPINR 1st MAR 99 CE,2024-03-01,1,0.0025
CDS,cde_fo,GBPINR,1188,OPTCUR,PE,99,GBPINR,GBPINR01MAR24P99,GBPINR 1st MAR 99 PE,2024-03-01,1,0.0025
CDS,cde_fo,EURINR,1189,OPTCUR,PE,94.25,EURINR,EURINR29JAN24P94.25,EURINR JAN 94.25 PE,2024-01-29,1,0.0025
CDS,cde_fo,USDJPY,1190,FUTCUR,XX,-1,USDJPY,USDJPY29MAY24F,USDJPY MAY FUT,2024-05-29,1,0.01
CDS,cde_fo,EURUSD,1191,OPTCUR,PE,1.215,EURUSD,EURUSD27FEB24P1.215,EURUSD FEB 1.215 PE,2024-02-27,1,0.0001
CDS,cde_fo,EURINR,1192,OPTCUR,CE,94.5,EURINR,EURINR29JAN24C94.5,EURINR JAN 94.5 CE,2024-01-29,1,0.0025
CDS,cde_fo,EURINR,1193,OPTCUR,PE,94.5,EURINR,EURINR29JAN24P94.5,EURINR JAN 94.5 PE,2024-01-29,1,0.0025
CDS,cde_fo,JPYINR,1194,OPTCUR,PE,55.25,JPYINR,JPYINR26MAR24P55.25,JPYINR 26th MAR 55.25 PE,2024-03-26,1,0.0025
CDS,cde_fo,USDJPY,1195,OPTCUR,CE,146,USDJPY,USDJPY26MAR24C146,USDJPY 26th MAR 146 CE,2024-03-26,1,0.01
CDS,cde_fo,USDJPY,1196,OPTCUR,PE,146,USDJPY,USDJPY26MAR24P146,USDJPY 26th MAR 146 PE,2024-03-26,1,0.01
CDS,cde_fo,USDINR,1197,OPTCUR,CE,77.25,USDINR,USDINR16FEB24C77.25,USDINR 16th FEB 77.25 CE,2024-02-16,1,0.0025
CDS,cde_fo,USDINR,1198,OPTCUR,PE,77.25,USDINR,USDINR16FEB24P77.25,USDINR 16th FEB 77.25 PE,2024-02-16,1,0.0025
CDS,cde_fo,EURINR,1200,OPTCUR,CE,94.75,EURINR,EURINR29JAN24C94.75,EURINR JAN 94.75 CE,2024-01-29,1,0.0025
CDS,cde_fo,USDINR,1201,OPTCUR,CE,77.25,USDINR,USDINR23FEB24C77.25,USDINR 23rd FEB 77.25 CE,2024-02-23,1,0.0025
CDS,cde_fo,USDINR,1202,OPTCUR,PE,77.25,USDINR,USDINR23FEB24P77.25,USDINR 23rd FEB 77.25 PE,2024-02-23,1,0.0025
CDS,cde_fo,GBPINR,1203,FUTCUR,XX,-1,GBPINR,GBPINR28AUG24F,GBPINR AUG FUT,2024-08-28,1,0.0025
CDS,cde_fo,GBPINR,1205,OPTCUR,PE,99.5,GBPINR,GBPINR15MAR24P99.5,GBPINR 15th MAR 99.5 PE,2024-03-15,1,0.0025
CDS,cde_fo,GBPUSD,1206,OPTCUR,CE,1.145,GBPUSD,GBPUSD27DEC24C1.145,GBPUSD 27th DEC 1.145 CE,2024-12-27,1,0.0001
CDS,cde_fo,EURINR,1207,OPTCUR,PE,85,EURINR,EURINR26JUN24P85,EURINR JUN 85 PE,2024-06-26,1,0.0025
CDS,cde_fo,GBPUSD,1208,FUTCUR,XX,-1,GBPUSD,GBPUSD28AUG24F,GBPUSD AUG FUT,2024-08-28,1,0.0001
CDS,cde_fo,GBPINR,1209,OPTCUR,CE,99.25,GBPINR,GBPINR01MAR24C99.25,GBPINR 1st MAR 99.25 CE,2024-03-01,1,0.0025
CDS,cde_fo,EURINR,1210,OPTCUR,PE,83.5,EURINR,EURINR26MAR24P83.5,EURINR 26th MAR 83.5 PE,2024-03-26,1,0.0025
